Experiment,QuestionNumber,QuestionLabel,Outcome1,Outcome2,CorrectOutcomeLabel,CorrectOutcomeLogical
1,1,"In the 2018 NFL draft, Mark Andrews was drafted by the Minnesota Vikings",TRUE,FALSE,FALSE,0
1,2,"In the 2018 NFL draft, Alabama was one of the schools with no players drafted that year",TRUE,FALSE,FALSE,0
1,3,"In the 2018 NFL draft, the New York Giants were the only team to draft a player out of FCS champion North Dakota State University",TRUE,FALSE,FALSE,0
1,4,"In the 2018 NFL draft, Nathan Shepard was drafted by the New York Jets",TRUE,FALSE,TRUE,1
1,5,"In the 2018 NFL draft, the Baltimore Ravens were the team to have the most draft picks that year",TRUE,FALSE,TRUE,1
1,6,"In the 2018 NFL draft, the Los Angeles Rams drafted Jordan Mailata",TRUE,FALSE,FALSE,0
1,7,"In the 2018 NFL draft, Terrell Edmunds was drafted by the Pittsburgh Steelers ",TRUE,FALSE,TRUE,1
1,8,"In the 2018 NFL draft, Baker Mayfield was drafted in the Linebacker position by the Cleveland Browns",TRUE,FALSE,FALSE,0
1,9,"In the 2018 NFL draft, the defending Super Bowl champions traded away their pick in the first round",TRUE,FALSE,TRUE,1
1,10,"In the 2018 NFL draft, the Washington Redskins were the team with the last pick of the draft",TRUE,FALSE,TRUE,1
1,11,"In the 2017 NFL draft, the New England Patriots had only two draft picks that year",TRUE,FALSE,FALSE,0
1,12,"In the 2017 NFL draft, more two players were selected from Texas A&M",TRUE,FALSE,TRUE,1
1,13,"In the 2017 NFL draft, the Big Ten was one of the athletic conferences where no players were drafted that year",TRUE,FALSE,FALSE,0
1,14,"In the 2017 NFL draft, more than two players were drafted from Clemson University",TRUE,FALSE,TRUE,1
1,15,"In the 2017 NFL draft, more than four players were drafted from James Madison University that year",TRUE,FALSE,FALSE,0
1,16,"In the 2017 NFL draft, the Chicago Bears drafted Adam Shaheen",TRUE,FALSE,TRUE,1
1,17,"In the 2017 NFL draft, the New York Giants were penalized in the draft",TRUE,FALSE,TRUE,1
1,18,"In the 2017 NFL draft, the Minnesota Vikings had less than 12 draft picks that year",TRUE,FALSE,FALSE,0
1,19,"In the 2017 NFL draft, the four special teams players drafted consisted of three kickers and one long snapper",TRUE,FALSE,TRUE,1
1,20,"In the 2017 NFL draft, the Denver Broncos drafted Trey Quinn as the last pick of the draft",TRUE,FALSE,FALSE,0
1,21,"In the 2016 NFL draft, the Tennessee Titans were supposed to have the second pick in the draft",TRUE,FALSE,FALSE,0
1,22,"In the 2016 NFL draft, Carson Wentz was the only player to be drafted from North Dakota State University that year",TRUE,FALSE,FALSE,0
1,23,"In the 2016 NFL draft, wide receiver Mortiz Bohringer was drafted by the San Francisco 49ers",TRUE,FALSE,FALSE,0
1,24,"In the 2016 NFL draft, kicker Roberto Aguayo was drafted by the Tampa Bay Buccaneers",TRUE,FALSE,TRUE,1
1,25,"In the 2016 NFL draft, the 2015 Heisman Trophy winner, Derrick Henry, was drafted by the Baltimore Ravens",TRUE,FALSE,FALSE,0
1,26,"In the 2016 NFL draft, Ohio State University had the most players selected",TRUE,FALSE,TRUE,1
1,27,"In the 2016 NFL draft, more than two teams were forced to forfeit at least one draft pick that year",TRUE,FALSE,TRUE,1
1,28,"In the 2016 NFL draft, Rico Gathers was drafted by the Oakland Raiders",TRUE,FALSE,FALSE,0
1,29,"In the 2016 NFL draft, David Onyemata was drafted by the New Orleans Saints",TRUE,FALSE,TRUE,1
1,30,"In the 2016 NFL draft, the Tennessee Titans drafted Kalan Reed as the last pick of the draft",TRUE,FALSE,TRUE,1
1,31,"In NFL rules, a player performing a chop block will be penalized by the loss of 25 yards",TRUE,FALSE,FALSE,0
1,32,"In NFL rules, a player who wears illegal equipment is to be suspended for the next two games",TRUE,FALSE,FALSE,0
1,33,"In NFL rules, a delay of game penalty at the start of either half is a 5-yard penalty",TRUE,FALSE,FALSE,0
1,34,"In NFL rules, the penalty for attempting to use more than 3 timeouts in a half is 5 yards",TRUE,FALSE,TRUE,1
1,35,"In NFL rules, when holding is committed by the defense, the penalty five yards and an automatic first down",TRUE,FALSE,TRUE,1
1,36,"In NFL rules, the penalty for the first onside kick going out of bounds is 5 yards",TRUE,FALSE,TRUE,1
1,37,"In NFL rules, pass interference and neutral zone infractions are penalties that can go against both the offense and the defense",TRUE,FALSE,TRUE,1
1,38,"In NFL rules, the penalty for leaping is 5 yards when it is committed by the defense",TRUE,FALSE,FALSE,0
1,39,"In NFL rules, when an intentional grounding penalty is called at midfield, the other team automatically gets possession",TRUE,FALSE,TRUE,1
1,40,"In NFL rules, the penalty for any action which delays the next play is an automatic first down",TRUE,FALSE,FALSE,0
1,41,"In NFL, a sack is when a quarterback or other player on offense gets tackled in their own end zone",TRUE,FALSE,FALSE,0
1,42,"In NFL, the quarterback is permitted to change the play if he doesn't like what he sees in the defense",TRUE,FALSE,TRUE,1
1,43,"In NFL, a ""three and out"" refers to when three wide receivers set up in the formation",TRUE,FALSE,FALSE,0
1,44,"In NFL, there 7 rounds in the draft, with the worst-performing NFL team from the previous year choosing first, and the best-performing NFL team the previous year choosing last",TRUE,FALSE,TRUE,1
1,45,"In NFL, a ""Hail Mary"" is a play in which the receivers are all sent downfield towards the end zone ",TRUE,FALSE,TRUE,1
1,46,"In NFL, a ""two-point conversion"" is a play a team attempts instead of kicking a one-point conversion immediately after it scores a touchdown",TRUE,FALSE,TRUE,1
1,47,"In NFL, Vince Lombardi led the Green Bay Packers to three consecutive Super Bowl victories",TRUE,FALSE,FALSE,0
1,48,"In NFL, the red zone refers to the opponent team's end zone",TRUE,FALSE,FALSE,0
1,49,"In NFL, the first team to ever win the Super Bowl was the Green Bay Packers",TRUE,FALSE,TRUE,1
1,50,"In NFL, centres and linebackers are usually numbered between 70-79",TRUE,FALSE,FALSE,0
1,51,Voluntary muscles are controlled by the cerebrum,TRUE,FALSE,TRUE,1
1,52,Selective breeding results in a smaller gene pool,TRUE,FALSE,TRUE,1
1,53,Suffocation is the main cause of death from avalanches,TRUE,FALSE,TRUE,1
1,54,Hormones are transported around the body via the peripheral nervous system,TRUE,FALSE,FALSE,0
1,55,Increased pressure speeds up the rate of chemical reactions in both gases and liquids,TRUE,FALSE,FALSE,0
1,56,Transition elements are commonly used as catalysts in chemical reactions,TRUE,FALSE,TRUE,1
1,57,The maximum number of electrons in the first electron shell is 2,TRUE,FALSE,TRUE,1
1,58,Plant cells are easier to clone than animal cells,TRUE,FALSE,TRUE,1
1,59,Secondary industries dominate the market in emerging economies,TRUE,FALSE,FALSE,0
1,60,Scurvy and anemia are diseases not caused by bacteria or viruses,TRUE,FALSE,TRUE,1
1,61,Sedimentary rock typically form as a result of extremely high pressure or heat,TRUE,FALSE,FALSE,0
1,62,Photosynthesis is an example of an endothermic reaction,TRUE,FALSE,TRUE,1
1,63,Organisms working together to gain an advantage in competition is an example of parasitism,TRUE,FALSE,FALSE,0
1,64,A catalyst has no effect on the equilibrium of a chemical system,TRUE,FALSE,TRUE,1
1,65,Combustion reactions are typically irreversible,TRUE,FALSE,TRUE,1
1,66,Epinephrine is a hormone prescribed to treat diabetes,TRUE,FALSE,FALSE,0
1,67,A country's carbon footprint measures their impact on the environment,TRUE,FALSE,TRUE,1
1,68,"When contours on a map are very close together, it indicates a steep slope",TRUE,FALSE,TRUE,1
1,69,Earthquakes and volcanoes typically occur at the boundaries of tectonic plates,TRUE,FALSE,TRUE,1
1,70,"When international aid is given directly from one country to another, it is called multilateral aid",TRUE,FALSE,FALSE,0
1,71,One disadvantage of biofuels is that they are carbon neutral,TRUE,FALSE,FALSE,0
1,72,Deforestation is considered one of the main contributors to the greenhouse effect,TRUE,FALSE,TRUE,1
1,73,Sensory neurons are responsible for sending messages from the brain to different glands in the body,TRUE,FALSE,FALSE,0
1,74,The core of the earth is the hotter than its outer layers,TRUE,FALSE,TRUE,1
1,75,Skin and bones are two organs that form part of the auxiliary nervous system,TRUE,FALSE,FALSE,0
1,76,Some vaccines contain the live pathogen that has been treated to make it harmless,TRUE,FALSE,TRUE,1
1,77,Elements in the standard periodic table are arranged in terms of atomic mass,TRUE,FALSE,FALSE,0
1,78,Bacteria are the primary source of energy for most food chains,TRUE,FALSE,FALSE,0
1,79,The mass of an element equals the number of protons and electrons in one atom,TRUE,FALSE,FALSE,0
1,80,"As the temperature increases, the solubility of gasses increases",TRUE,FALSE,FALSE,0
1,81,There are four covalent bonds involved in a methane molecule,TRUE,FALSE,TRUE,1
1,82,Electrolysis is the process of splitting substances up using heat energy,TRUE,FALSE,FALSE,0
1,83,Random mutations in DNA are a common cause of mass extinction in a species,TRUE,FALSE,FALSE,0
1,84,Most of the Nitrogen that plants use are absorbed through their roots,TRUE,FALSE,TRUE,1
1,85,The amount of water in the body is regulated primarily via thyroid gland,TRUE,FALSE,FALSE,0
1,86,Hurricanes usually only form if the sea temperature is less than 80 degrees Fahrenheit,TRUE,FALSE,FALSE,0
1,87,"Isotopes have the same number of protons, but different number of neutrons",TRUE,FALSE,TRUE,1
1,88,A substance with a pH of 8 is a strong acid,TRUE,FALSE,FALSE,0
1,89,Pressure directly affects the solubility of gases in water,TRUE,FALSE,TRUE,1
1,90,An alkali is a substance that produces hydrogen ions when added to water,TRUE,FALSE,FALSE,0
1,91,Hydrocarbates are essential to a balanced human diet,TRUE,FALSE,FALSE,0
1,92,Selective breeding results in an increased risk of diseases in the population,TRUE,FALSE,TRUE,1
1,93,The main impact of deforestation is the loss of habitat for various living species,TRUE,FALSE,TRUE,1
1,94,A subsistence farmer is a farmer who focuses on raising animals and growing crops to feed their family,TRUE,FALSE,TRUE,1
1,95,Antibiotics are ineffective against viruses,TRUE,FALSE,TRUE,1
1,96,"During photosynthesis, chemical energy is converted into light energy",TRUE,FALSE,FALSE,0
1,97,Decane splitting into octane and ethene is an example of a polymerization reaction,TRUE,FALSE,FALSE,0
1,98,Darwin's theory was not widely accepted when it was first published in the late 19th century,TRUE,FALSE,TRUE,1
1,99,Voluntary muscle messages are processed in the medulla of the brain,TRUE,FALSE,FALSE,0
1,100,Metallic bonds are typically stronger than covalent bonds,TRUE,FALSE,FALSE,0
2,1,"In the 2018 NFL draft, Mark Andrews was drafted by the Minnesota Vikings",TRUE,FALSE,FALSE,0
2,2,"In the 2018 NFL draft, Alabama was one of the schools with no players drafted that year",TRUE,FALSE,FALSE,0
2,3,"In the 2018 NFL draft, the New York Giants were the only team to draft a player out of FCS champion North Dakota State University",TRUE,FALSE,FALSE,0
2,4,"In the 2018 NFL draft, Nathan Shepard was drafted by the New York Jets",TRUE,FALSE,TRUE,1
2,5,"In the 2018 NFL draft, the Baltimore Ravens were the team to have the most draft picks that year",TRUE,FALSE,TRUE,1
2,6,"In the 2018 NFL draft, the Los Angeles Rams drafted Jordan Mailata",TRUE,FALSE,FALSE,0
2,7,"In the 2018 NFL draft, Terrell Edmunds was drafted by the Pittsburgh Steelers ",TRUE,FALSE,TRUE,1
2,8,"In the 2018 NFL draft, Baker Mayfield was drafted in the Linebacker position by the Cleveland Browns",TRUE,FALSE,FALSE,0
2,9,"In the 2018 NFL draft, the defending Super Bowl champions traded away their pick in the first round",TRUE,FALSE,TRUE,1
2,10,"In the 2018 NFL draft, the Washington Redskins were the team with the last pick of the draft",TRUE,FALSE,TRUE,1
2,11,"In the 2017 NFL draft, the New England Patriots had only two draft picks that year",TRUE,FALSE,FALSE,0
2,12,"In the 2017 NFL draft, more than two players were selected from Texas A&M",TRUE,FALSE,TRUE,1
2,13,"In the 2017 NFL draft, the Big Ten was one of the athletic conferences where no players were drafted that year",TRUE,FALSE,FALSE,0
2,14,"In the 2017 NFL draft, more than two players were drafted from Clemson University",TRUE,FALSE,TRUE,1
2,15,"In the 2017 NFL draft, more than four players were drafted from James Madison University that year",TRUE,FALSE,FALSE,0
2,16,"In the 2017 NFL draft, the Chicago Bears drafted Adam Shaheen",TRUE,FALSE,TRUE,1
2,17,"In the 2017 NFL draft, the New York Giants were penalized in the draft",TRUE,FALSE,TRUE,1
2,18,"In the 2017 NFL draft, the Minnesota Vikings had less than 12 draft picks that year",TRUE,FALSE,FALSE,0
2,19,"In the 2017 NFL draft, the four special teams players drafted consisted of three kickers and one long snapper",TRUE,FALSE,TRUE,1
2,20,"In the 2017 NFL draft, the Denver Broncos drafted Trey Quinn as the last pick of the draft",TRUE,FALSE,FALSE,0
2,21,"In the 2016 NFL draft, the Tennessee Titans were supposed to have the second pick in the draft",TRUE,FALSE,FALSE,0
2,22,"In the 2016 NFL draft, Carson Wentz was the only player to be drafted from North Dakota State University that year",TRUE,FALSE,FALSE,0
2,23,"In the 2016 NFL draft, wide receiver Mortiz Bohringer was drafted by the San Francisco 49ers",TRUE,FALSE,FALSE,0
2,24,"In the 2016 NFL draft, kicker Roberto Aguayo was drafted by the Tampa Bay Buccaneers",TRUE,FALSE,TRUE,1
2,25,"In the 2016 NFL draft, the 2015 Heisman Trophy winner, Derrick Henry, was drafted by the Baltimore Ravens",TRUE,FALSE,FALSE,0
2,26,"In the 2016 NFL draft, Ohio State University had the most players selected",TRUE,FALSE,TRUE,1
2,27,"In the 2016 NFL draft, more than two teams were forced to forfeit at least one draft pick that year",TRUE,FALSE,TRUE,1
2,28,"In the 2016 NFL draft, Rico Gathers was drafted by the Oakland Raiders",TRUE,FALSE,FALSE,0
2,29,"In the 2016 NFL draft, David Onyemata was drafted by the New Orleans Saints",TRUE,FALSE,TRUE,1
2,30,"In the 2016 NFL draft, the Tennessee Titans drafted Kalan Reed as the last pick of the draft",TRUE,FALSE,TRUE,1
2,31,"In NFL rules, a player performing a chop block will be penalized by the loss of 25 yards",TRUE,FALSE,FALSE,0
2,32,"In NFL rules, a player who wears illegal equipment is to be suspended for the next two games",TRUE,FALSE,FALSE,0
2,33,"In NFL rules, a delay of game penalty at the start of either half is a 5-yard penalty",TRUE,FALSE,FALSE,0
2,34,"In NFL rules, the penalty for attempting to use more than 3 timeouts in a half is 5 yards",TRUE,FALSE,TRUE,1
2,35,"In NFL rules, when holding is committed by the defense, the penalty five yards and an automatic first down",TRUE,FALSE,TRUE,1
2,36,"In NFL rules, the penalty for the first onside kick going out of bounds is 5 yards",TRUE,FALSE,TRUE,1
2,37,"In NFL rules, pass interference and neutral zone infractions are penalties that can go against both the offense and the defense",TRUE,FALSE,TRUE,1
2,38,"In NFL rules, the penalty for leaping is 5 yards when it is committed by the defense",TRUE,FALSE,FALSE,0
2,39,"In NFL rules, when an intentional grounding penalty is called at midfield, the other team automatically gets possession",TRUE,FALSE,TRUE,1
2,40,"In NFL rules, the penalty for any action which delays the next play is an automatic first down",TRUE,FALSE,FALSE,0
2,41,"In NFL, a sack is when a quarterback or other player on offense gets tackled in their own end zone",TRUE,FALSE,FALSE,0
2,42,"In NFL, the quarterback is permitted to change the play if he doesn't like what he sees in the defense",TRUE,FALSE,TRUE,1
2,43,"In NFL, a ""three and out"" refers to when three wide receivers set up in the formation",TRUE,FALSE,FALSE,0
2,44,"In NFL, there 7 rounds in the draft, with the worst-performing NFL team from the previous year choosing first, and the best-performing NFL team the previous year choosing last",TRUE,FALSE,TRUE,1
2,45,"In NFL, a ""Hail Mary"" is a play in which the receivers are all sent downfield towards the end zone ",TRUE,FALSE,TRUE,1
2,46,"In NFL, a ""two-point conversion"" is a play a team attempts instead of kicking a one-point conversion immediately after it scores a touchdown",TRUE,FALSE,TRUE,1
2,47,"In NFL, Vince Lombardi led the Green Bay Packers to three consecutive Super Bowl victories",TRUE,FALSE,FALSE,0
2,48,"In NFL, the red zone refers to the opponent team's end zone",TRUE,FALSE,FALSE,0
2,49,"In NFL, the first team to ever win the Super Bowl was the Green Bay Packers",TRUE,FALSE,TRUE,1
2,50,"In NFL, centres and linebackers are usually numbered between 70-79",TRUE,FALSE,FALSE,0
2,51,Voluntary muscles are controlled by the cerebrum,TRUE,FALSE,TRUE,1
2,52,Selective breeding results in a smaller gene pool,TRUE,FALSE,TRUE,1
2,53,Suffocation is the main cause of death from avalanches,TRUE,FALSE,TRUE,1
2,54,Hormones are transported around the body via the peripheral nervous system,TRUE,FALSE,FALSE,0
2,55,Increased pressure speeds up the rate of chemical reactions in both gases and liquids,TRUE,FALSE,FALSE,0
2,56,Transition elements are commonly used as catalysts in chemical reactions,TRUE,FALSE,TRUE,1
2,57,The maximum number of electrons in the first electron shell is 2,TRUE,FALSE,TRUE,1
2,58,Plant cells are easier to clone than animal cells,TRUE,FALSE,TRUE,1
2,59,Secondary industries dominate the market in emerging economies,TRUE,FALSE,FALSE,0
2,60,Scurvy and anemia are diseases not caused by bacteria or viruses,TRUE,FALSE,TRUE,1
2,61,Sedimentary rock typically form as a result of extremely high pressure or heat,TRUE,FALSE,FALSE,0
2,62,Photosynthesis is an example of an endothermic reaction,TRUE,FALSE,TRUE,1
2,63,Organisms working together to gain an advantage in competition is an example of parasitism,TRUE,FALSE,FALSE,0
2,64,A catalyst has no effect on the equilibrium of a chemical system,TRUE,FALSE,TRUE,1
2,65,Combustion reactions are typically irreversible,TRUE,FALSE,TRUE,1
2,66,Epinephrine is a hormone prescribed to treat diabetes,TRUE,FALSE,FALSE,0
2,67,A country's carbon footprint measures their impact on the environment,TRUE,FALSE,TRUE,1
2,68,"When contours on a map are very close together, it indicates a steep slope",TRUE,FALSE,TRUE,1
2,69,Earthquakes and volcanoes typically occur at the boundaries of tectonic plates,TRUE,FALSE,TRUE,1
2,70,"When international aid is given directly from one country to another, it is called multilateral aid",TRUE,FALSE,FALSE,0
2,71,One disadvantage of biofuels is that they are carbon neutral,TRUE,FALSE,FALSE,0
2,72,Deforestation is considered one of the main contributors to the greenhouse effect,TRUE,FALSE,TRUE,1
2,73,Sensory neurons are responsible for sending messages from the brain to different glands in the body,TRUE,FALSE,FALSE,0
2,74,The core of the earth is the hotter than its outer layers,TRUE,FALSE,TRUE,1
2,75,Skin and bones are two organs that form part of the auxiliary nervous system,TRUE,FALSE,FALSE,0
2,76,Some vaccines contain the live pathogen that has been treated to make it harmless,TRUE,FALSE,TRUE,1
2,77,Elements in the standard periodic table are arranged in terms of atomic mass,TRUE,FALSE,FALSE,0
2,78,Bacteria are the primary source of energy for most food chains,TRUE,FALSE,FALSE,0
2,79,The mass of an element equals the number of protons and electrons in one atom,TRUE,FALSE,FALSE,0
2,80,"As the temperature increases, the solubility of gasses increases",TRUE,FALSE,FALSE,0
2,81,There are four covalent bonds involved in a methane molecule,TRUE,FALSE,TRUE,1
2,82,Electrolysis is the process of splitting substances up using heat energy,TRUE,FALSE,FALSE,0
2,83,Random mutations in DNA are a common cause of mass extinction in a species,TRUE,FALSE,FALSE,0
2,84,Most of the Nitrogen that plants use are absorbed through their roots,TRUE,FALSE,TRUE,1
2,85,The amount of water in the body is regulated primarily via thyroid gland,TRUE,FALSE,FALSE,0
2,86,Hurricanes usually only form if the sea temperature is less than 80 degrees Fahrenheit,TRUE,FALSE,FALSE,0
2,87,"Isotopes have the same number of protons, but different number of neutrons",TRUE,FALSE,TRUE,1
2,88,A substance with a pH of 8 is a strong acid,TRUE,FALSE,FALSE,0
2,89,Pressure directly affects the solubility of gases in water,TRUE,FALSE,TRUE,1
2,90,An alkali is a substance that produces hydrogen ions when added to water,TRUE,FALSE,FALSE,0
2,91,Hydrocarbates are essential to a balanced human diet,TRUE,FALSE,FALSE,0
2,92,Selective breeding results in an increased risk of diseases in the population,TRUE,FALSE,TRUE,1
2,93,The main impact of deforestation is the loss of habitat for various living species,TRUE,FALSE,TRUE,1
2,94,A subsistence farmer is a farmer who focuses on raising animals and growing crops to feed their family,TRUE,FALSE,TRUE,1
2,95,Antibiotics are ineffective against viruses,TRUE,FALSE,TRUE,1
2,96,"During photosynthesis, chemical energy is converted into light energy",TRUE,FALSE,FALSE,0
2,97,Decane splitting into octane and ethene is an example of a polymerization reaction,TRUE,FALSE,FALSE,0
2,98,Darwin's theory was not widely accepted when it was first published in the late 19th century,TRUE,FALSE,TRUE,1
